campaign,source,medium,device,sessions,users,conversions,revenue,add_to_carts,checkouts,bounce_rate,engagement_rate,cvr,aov,cart_to_checkout,checkout_to_purchase
rmk_sitevisitors,facebook,paidsocial,mobile,30251,24488,322,26894.83999999999,4667,68,0.04545304287461571,0.9545469571253843,0.010644276222273643,83.52434782608692,0.014570387829440755,4.735294117647059
GG_Aura_Search_NB_ID_gtwy-idt,google,cpc,mobile,29911,24132,959,92010.62000000001,4708,1729,0.0393500718799104,0.9606499281200896,0.03206178329042827,95.9443378519291,0.3672472387425658,0.5546558704453441
lal_currentcustomers5,facebook,paidsocial,mobile,29645,25906,357,29855.45,3096,81,0.05036262438859841,0.9496373756114016,0.012042502951593861,83.62871148459384,0.02616279069767442,4.407407407407407
(referral),idpr,ir_affiliate,desktop,28628,21470,1503,194738.09000000003,8748,2484,0.06133854967165013,0.9386614503283499,0.052501047925108284,129.56626081170992,0.2839506172839506,0.605072463768116
506211722,bing,cpc,mobile,27322,25085,9,741.86,645,18,0.05687724178317839,0.9431227582168216,0.00032940487519215285,82.42888888888889,0.027906976744186046,0.5
JDI_Impulse_2935383,outbrain,native,mobile,27258,23129,2101,209985.64999999976,20189,129,0.041308973512363345,0.9586910264876367,0.07707828894269572,99.94557353641112,0.006389618108871168,16.286821705426355
GG_Aura_YouTube_RMK,google,cpc,mobile,26247,22727,207,17250.24,1724,56,0.10324989522612107,0.896750104773879,0.007886615613212938,83.3344927536232,0.03248259860788863,3.6964285714285716
av-intro,moonshot,ir_affiliate,mobile,26199,21755,1475,110711.12873600001,9546,237,0.03045917783121493,0.9695408221687851,0.05629985877323562,75.05839236338984,0.024827152734129478,6.223628691983122
(direct),(direct),(none),tablet,24710,16534,101,12100.339999999997,1039,183,0.04552812626467018,0.9544718737353298,0.004087414002428166,119.80534653465342,0.17613089509143406,0.5519125683060109
av-intro,conadvo,ir_affiliate,mobile,24444,19620,2148,165440.50000000003,12504,314,0.043037146129929635,0.9569628538700704,0.08787432498772704,77.02071694599628,0.02511196417146513,6.840764331210191
(not set),71acegroup,ir_affiliate,desktop,23209,18540,59,6935.839999999999,355,131,0.03873497350165884,0.9612650264983411,0.002542117282088845,117.5566101694915,0.36901408450704226,0.45038167938931295
life360-idt,life360,display,mobile,21840,18187,0,0.0,59,2,0.07596153846153846,0.9240384615384616,0.0,0.0,0.03389830508474576,0.0
life360-pc,life360,display,mobile,21835,17930,1,79.99,219,0,0.1133043279138997,0.8866956720861003,4.5798030684680556e-05,79.99,0.0,0.0
av-intro,wizcase,ir_affiliate,mobile,20446,17542,929,69509.896024,6412,160,0.04905605008314585,0.9509439499168542,0.045436760246502984,74.82227774381055,0.024953212726138492,5.80625
(referral),top10,ir_affiliate,desktop,20357,15752,1564,181415.40999999997,6792,2107,0.0789900280001965,0.9210099719998035,0.0768286093235742,115.99450767263426,0.31021790341578326,0.7422876127195064
life360-privacy,life360,display,mobile,20251,17314,3,15.0,88,0,0.059503234408177376,0.9404967655918226,0.00014814083255147893,5.0,0.0,0.0
506211722,bing,cpc,desktop,19375,18748,46,5376.86,732,78,0.012283870967741936,0.987716129032258,0.0023741935483870967,116.88826086956522,0.10655737704918032,0.5897435897435898
life360-relationships,life360,display,mobile,18880,16678,1,2.99,432,0,0.0878707627118644,0.9121292372881356,5.296610169491525e-05,2.99,0.0,0.0
life360-physicalhealth,life360,display,mobile,18846,16841,1,2.99,480,0,0.08192719940570943,0.9180728005942905,5.3061657646184864e-05,2.99,0.0,0.0
life360-mentalhealth,life360,display,mobile,18571,16242,1,2.99,492,0,0.07910182542674062,0.9208981745732594,5.384739647838027e-05,2.99,0.0,0.0
GG_Aura_DemandGen_Hero,google,cpc,mobile,17246,14066,80,7005.569999999999,894,48,0.09521048359039777,0.9047895164096023,0.00463875681317407,87.56962499999999,0.053691275167785234,1.6666666666666667
(referral),conadvo,ir_affiliate,mobile,16358,12379,1063,99474.45000000001,5653,1606,0.030749480376574153,0.9692505196234259,0.0649834943147084,93.57897460018816,0.28409693967804706,0.661892901618929
(not set),(not set),(not set),desktop,15843,13076,100,11850.299999999996,450,116,0.9989269709019757,0.001073029098024364,0.006311935870731553,118.50299999999996,0.2577777777777778,0.8620689655172413
Aura_Web-CPT,applovin,cpc,tablet,15325,12431,0,0.0,63,0,0.04763458401305057,0.9523654159869495,0.0,0.0,0.0,0.0
(organic),yahoo,organic,desktop,14966,8936,105,14833.039999999995,328,154,0.07543765869303755,0.9245623413069625,0.007015902712815715,141.2670476190476,0.4695121951219512,0.6818181818181818
(organic),google,organic,tablet,14624,11939,69,10343.979999999998,433,118,0.04048140043763676,0.9595185995623632,0.004718271334792122,149.91275362318837,0.27251732101616627,0.5847457627118644
GG_Aura_Search_NB_Credit_gtwy-credit,google,cpc,mobile,14488,12097,449,38963.41,2119,846,0.046590281612368854,0.9534097183876311,0.030991165102153505,86.77819599109132,0.3992449268522888,0.5307328605200946
(not set),cybernews,ir_affiliate,mobile,13826,9622,535,48070.13000000002,5759,288,0.056921741646173876,0.9430782583538261,0.03869521191957182,89.85071028037387,0.050008682062858134,1.8576388888888888
life360-boundries,life360,display,mobile,13611,11810,0,0.0,335,0,0.07376386746014253,0.9262361325398575,0.0,0.0,0.0,0.0
(not set),(not set),(not set),mobile,13465,12656,423,39688.18,1285,475,0.9976234682510212,0.002376531748978834,0.03141477905681396,93.82548463356974,0.36964980544747084,0.8905263157894737
(organic),duckduckgo,organic,mobile,13267,9982,60,9446.829999999998,403,80,0.05909399261325092,0.9409060073867491,0.004522499434687571,157.44716666666665,0.19851116625310175,0.75
av-intro,top10,ir_affiliate,desktop,12939,9615,1106,110167.93999999994,4953,442,0.06677486668212382,0.9332251333178762,0.08547801221114461,99.6093490054249,0.08923884514435695,2.502262443438914
(referral),antivirusguide,ir_affiliate,desktop,12807,11018,432,39630.72000000001,3753,157,0.04185211212618099,0.958147887873819,0.03373155305692199,91.7377777777778,0.041833200106581404,2.751592356687898
(referral),antivirusguide,ir_affiliate,mobile,12701,11103,511,36496.859999999986,6429,31,0.024722462798204867,0.9752775372017951,0.040233052515549955,71.42242661448138,0.004821900762171411,16.483870967741936
GG_Aura_Search_Competitors,google,cpc,desktop,12251,7829,612,71178.56000000001,2251,783,0.08178924169455555,0.9182107583054444,0.04995510570565668,116.30483660130722,0.3478454020435362,0.7816091954022989
(organic),duckduckgo,organic,desktop,12208,7765,71,13334.359999999999,318,109,0.07183813892529489,0.9281618610747051,0.0058158584534731324,187.80788732394365,0.34276729559748426,0.6513761467889908
(not set),peachjar,ir_affiliate,desktop,12181,11851,8,799.92,153,3,0.29242262540021347,0.7075773745997865,0.0006567605286922256,99.99,0.0196078431372549,2.6666666666666665
GG_Aura_Search_NB_ID_gtwy-idt,google,cpc,desktop,11581,6525,520,77740.98999999995,1656,755,0.08384422761419566,0.9161557723858044,0.04490113116311199,149.50190384615374,0.4559178743961353,0.6887417218543046
balance_parentingpressure_osaw,facebook,paidsocial,mobile,11203,10897,16,1485.9,55,3,0.13067928233508883,0.8693207176649111,0.0014281888779791127,92.86875,0.05454545454545454,5.333333333333333
broad_auratesting,facebook,paidsocial,mobile,10938,9023,127,10212.759999999998,1903,26,0.04251234229292375,0.9574876577070762,0.011610897787529714,80.41543307086613,0.013662637940094587,4.884615384615385
GG_Aura_Search_NB_gtwy-pc,google,cpc,mobile,10926,8964,264,19433.37999999999,3484,14,0.062328390993959364,0.9376716090060406,0.02416254805052169,73.61128787878783,0.004018369690011481,18.857142857142858
(not set),idpr,ir_affiliate,desktop,10756,3246,144,17301.369999999995,957,165,0.0820937151357382,0.9179062848642618,0.01338787653402752,120.14840277777775,0.1724137931034483,0.8727272727272727
506187878,bing,cpc,mobile,10669,10465,12,762.7900000000001,1007,6,0.05164495266660418,0.9483550473333958,0.0011247539600712344,63.56583333333334,0.005958291956305859,2.0
(referral),conadvo,ir_affiliate,desktop,10572,7241,811,111358.84000000001,3091,1183,0.11549375709421113,0.8845062429057888,0.0767120696178585,137.31053020961778,0.38272403752830797,0.6855452240067624
(organic),yahoo,organic,mobile,9699,7087,31,4095.9399999999996,232,66,0.05381998144138571,0.9461800185586143,0.003196205794411795,132.12709677419355,0.28448275862068967,0.4696969696969697
life360_blendedlal,facebook,paidsocial,mobile,9494,8980,212,11177.819999999998,1935,37,0.03539077311986518,0.9646092268801348,0.022329892563724456,52.72556603773584,0.019121447028423774,5.72972972972973
(not set),rocketmoney,ir_affiliate,mobile,9449,8886,359,24720.0,1277,785,0.01608635834479839,0.9839136416552016,0.0379934384590962,68.85793871866295,0.6147220046985121,0.4573248407643312
(not set),top10,ir_affiliate,desktop,9261,2222,124,15721.849999999999,675,136,0.11381060360652197,0.886189396393478,0.01338948277723788,126.7891129032258,0.20148148148148148,0.9117647058823529
GG_Aura_Search_Brand_gtwy-pc,google,cpc,mobile,9214,6610,313,24785.7,3158,27,0.06642066420664207,0.933579335793358,0.03397004558280877,79.18753993610224,0.008549715009499683,11.592592592592593
(organic),bing,organic,mobile,9092,7107,20,2118.0,220,39,0.050263968323801145,0.9497360316761989,0.002199736031676199,105.9,0.17727272727272728,0.5128205128205128
(referral),buyersguide,ir_affiliate,mobile,9060,7373,545,45769.619999999995,1955,918,0.0477924944812362,0.9522075055187638,0.06015452538631347,83.98095412844036,0.46956521739130436,0.593681917211329
GG_Aura_Search_NB_gtwy-av,google,cpc,mobile,9031,7981,293,22359.410000000003,2709,88,0.030118480788395526,0.9698815192116045,0.03244380467279371,76.31197952218432,0.03248431155407899,3.3295454545454546
av-intro,AntivirusReviews,ir_affiliate,mobile,9018,7193,405,33324.85,3520,99,0.03348857839875804,0.9665114216012419,0.04491017964071856,82.28358024691357,0.028125,4.090909090909091
life360_over45,facebook,paidsocial,mobile,8479,6967,81,3052.699999999999,1160,8,0.04410897511498998,0.95589102488501,0.009553013327043284,37.68765432098764,0.006896551724137931,10.125
GG_Aura_DemandGen_Sandbox,google,cpc,desktop,8401,6294,57,3697.75,565,29,0.06844423282942506,0.931555767170575,0.006784906558743007,64.87280701754386,0.05132743362831858,1.9655172413793103
GG_Aura_PerformanceMax_NB,google,cpc,desktop,8102,5846,190,20956.14999999999,965,246,0.07664774129844483,0.9233522587015551,0.02345099975314737,110.29552631578943,0.2549222797927461,0.7723577235772358
lalavcustomers5,facebook,paidsocial,mobile,7871,6904,83,6319.19,1128,14,0.06492186507432346,0.9350781349256765,0.010545038749841189,76.13481927710843,0.012411347517730497,5.928571428571429
GG_Aura_Search_NB_General,google,cpc,tablet,7855,6939,143,12486.76999999999,1393,125,0.04022915340547422,0.9597708465945258,0.01820496499045194,87.32006993006986,0.08973438621679827,1.144
(referral),parentacontrol,ir_affiliate,mobile,7143,5594,213,20682.119999999988,3173,15,0.027299454010919783,0.9727005459890802,0.02981940361192776,97.09915492957741,0.004727387330601954,14.2
GG_Aura_Search_NB_Credit_gtwy-credit,google,cpc,desktop,7140,4868,250,33208.13,888,396,0.0773109243697479,0.9226890756302522,0.0350140056022409,132.83252,0.44594594594594594,0.6313131313131313
(not set),ski001,ir_affiliate,mobile,7038,3451,10,513.0,118,37,0.04731457800511509,0.9526854219948849,0.0014208581983518045,51.3,0.3135593220338983,0.2702702702702703
broad_up10general,facebook,paidsocial,mobile,6966,6241,103,8558.969999999998,796,24,0.05785242606948033,0.9421475739305196,0.014786103933390755,83.09679611650483,0.03015075376884422,4.291666666666667
life360_general,facebook,paidsocial,mobile,6924,5560,41,1307.91,972,10,0.05285961871750433,0.9471403812824957,0.005921432697862507,31.900243902439026,0.0102880658436214,4.1
av-intro,conadvo,ir_affiliate,desktop,6893,5146,560,54841.46999999999,2576,235,0.0667343681996228,0.9332656318003772,0.0812418395473669,97.93119642857141,0.09122670807453416,2.382978723404255
GG_Aura_Search_Dynamic,google,cpc,mobile,6698,5809,200,19442.980000000003,1839,109,0.044789489399820845,0.9552105106001791,0.029859659599880562,97.21490000000001,0.059271343121261554,1.834862385321101
(not set),idpr,ir_affiliate,mobile,6606,4777,65,6599.539999999999,1731,93,0.08840448077505299,0.911595519224947,0.009839539812291857,101.5313846153846,0.053726169844020795,0.6989247311827957
506187878,bing,cpc,desktop,6391,6232,21,1964.8100000000002,718,10,0.01533406352683461,0.9846659364731654,0.0032858707557502738,93.56238095238096,0.013927576601671309,2.1
(referral),buyersguide,ir_affiliate,desktop,6356,4746,369,42638.590000000004,1385,583,0.08543108873505349,0.9145689112649465,0.05805538074260541,115.55173441734418,0.42093862815884475,0.6329331046312179
av-intro,top10,ir_affiliate,tablet,6329,5206,364,32736.380000000005,2100,94,0.022910412387422974,0.977089587612577,0.057513035234634226,89.9351098901099,0.04476190476190476,3.872340425531915
GG_Aura_YouTube_RMK,google,cpc,desktop,6289,4266,39,4127.779999999999,233,30,0.10542216568611862,0.8945778343138814,0.006201303863889331,105.84051282051279,0.12875536480686695,1.3
506069991,bing,cpc,mobile,6221,4211,128,13038.109999999997,963,251,0.05449284680919466,0.9455071531908054,0.020575470181642824,101.86023437499998,0.26064382139148495,0.5099601593625498
(referral),mail.yahoo.com,referral,desktop,5867,2485,4,518.99,32,16,0.04806545082665758,0.9519345491733424,0.0006817794443497528,129.7475,0.5,0.25
interests_lifelock,facebook,paidsocial,mobile,5758,4977,86,7659.159999999995,640,21,0.05001736714136853,0.9499826328586315,0.014935741576936437,89.05999999999995,0.0328125,4.095238095238095
fedvip-reminder-2025,fedvip,email,desktop,5479,5147,0,0.0,872,6,0.0490965504654134,0.9509034495345866,0.0,0.0,0.006880733944954129,0.0
rmk_sitevisitors_av,facebook,paidsocial,mobile,5462,4616,76,5949.239999999999,961,14,0.05931893079458074,0.9406810692054193,0.013914317099963384,78.27947368421052,0.014568158168574402,5.428571428571429
life360_pc,facebook,paidsocial,mobile,5381,3662,2,94.99,6622,1,0.4123768816205166,0.5876231183794833,0.00037167812674224123,47.495,0.00015101177891875566,2.0
(not set),cybernews,ir_affiliate,desktop,5360,3612,206,23532.120000000014,1596,156,0.12369402985074626,0.8763059701492537,0.038432835820895524,114.23359223300977,0.09774436090225563,1.3205128205128205
(cross-network),(data not available),(data not available),mobile,5247,5193,182,13954.889999999994,1525,226,0.01581856298837431,0.9841814370116256,0.0346864875166762,76.67521978021975,0.1481967213114754,0.8053097345132744
(referral),royharp,ir_affiliate,desktop,5135,2921,14,2105.9799999999996,92,35,0.09639727361246349,0.9036027263875365,0.002726387536514119,150.42714285714283,0.3804347826086957,0.4
JDI_Impulse_2935403,taboola,native,desktop,5104,4126,341,34370.67999999999,2655,24,0.05329153605015674,0.9467084639498433,0.0668103448275862,100.79378299120232,0.00903954802259887,14.208333333333334
GG_Aura_Search_Brand,google,cpc,tablet,5035,3339,159,20046.430000000008,1079,301,0.04409136047666336,0.9559086395233366,0.031578947368421054,126.07817610062898,0.2789620018535681,0.5282392026578073
(not set),conadvo,ir_affiliate,desktop,4907,952,50,7039.719999999999,240,74,0.09578153658039536,0.9042184634196047,0.010189525168127165,140.7944,0.30833333333333335,0.6756756756756757
lal_currentcustomers5_lowerfunnelftdboo_subscribe,facebook,paidsocial,tablet,4905,4203,125,1342.96,1631,23,0.016106014271151887,0.9838939857288481,0.0254841997961264,10.74368,0.014101778050275904,5.434782608695652
(not set),banyantree,ir_affiliate,desktop,4904,1049,63,9218.72,384,77,0.14579934747145187,0.8542006525285482,0.012846655791190865,146.32888888888888,0.20052083333333334,0.8181818181818182
av-intro,safetydetectives,ir_affiliate,mobile,4860,4260,164,13250.076927999988,1291,35,0.03847736625514403,0.9615226337448559,0.03374485596707819,80.79315199999992,0.027110766847405113,4.685714285714286
av-intro,moonshot,ir_affiliate,desktop,4841,3731,318,30213.490000000005,1731,124,0.065482338359843,0.934517661640157,0.06568890725056807,95.01097484276731,0.07163489312536106,2.564516129032258
GG_Thrive_Search_NB,google,cpc,mobile,4831,4627,16,47.84000000000002,736,0,0.02421858828399917,0.9757814117160009,0.0033119436969571516,2.990000000000001,0.0,0.0
broad_alerts,facebook,paidsocial,mobile,4806,4325,38,3109.619999999999,639,8,0.038493549729504785,0.9615064502704952,0.007906783187682065,81.83210526315787,0.012519561815336464,4.75
av-intro,safetydetectives,ir_affiliate,desktop,4752,3980,270,25345.784411000008,1551,84,0.0726010101010101,0.92739898989899,0.056818181818181816,93.87327559629632,0.05415860735009671,3.2142857142857144
lal_currentcustomers1,facebook,paidsocial,tablet,4650,4392,130,13718.699999999984,561,40,0.027096774193548386,0.9729032258064516,0.02795698924731183,105.52846153846141,0.07130124777183601,3.25
GG_Aura_Search_Brand_gtwy-av,google,cpc,mobile,4618,3327,121,9943.55999999999,1267,79,0.0443915114768298,0.9556084885231702,0.026201818969250758,82.17818181818174,0.062352012628255724,1.5316455696202531
GG_Aura_DemandGen_Hero,google,cpc,desktop,4616,2702,37,4287.769999999999,241,26,0.09770363951473136,0.9022963604852686,0.008015597920277296,115.88567567567564,0.1078838174273859,1.4230769230769231
JDI_Impulse_2781868,outbrain,native,desktop,4600,3973,230,16118.74,2204,22,0.05456521739130435,0.9454347826086956,0.05,70.08147826086956,0.009981851179673321,10.454545454545455
fedemployees,facebook,paidsocial,mobile,4547,3890,26,2373.75,264,7,0.07323510006597757,0.9267648999340224,0.005718055861007257,91.29807692307692,0.026515151515151516,3.7142857142857144
av-intro,cybernews,ir_affiliate,desktop,4339,3235,216,22364.93999999999,1314,94,0.05185526619036644,0.9481447338096336,0.049781055542751786,103.54138888888885,0.0715372907153729,2.297872340425532
GG_Aura_Search_Brand_gtwy-pc,google,cpc,desktop,4333,2693,171,15083.569999999989,1175,18,0.14631894761135472,0.8536810523886453,0.03946457419801523,88.20801169590636,0.015319148936170212,9.5
ftr_dboo-ib,(not set),(not set),mobile,4292,3658,230,1814.98,3374,41,0.18173345759552656,0.8182665424044734,0.05358807082945014,7.891217391304348,0.012151748666271488,5.609756097560975
JDI_Impulse_3054205,outbrain,native,desktop,4290,3797,274,19208.29,2241,21,0.034731934731934734,0.9652680652680653,0.06386946386946386,70.10324817518249,0.009370816599732263,13.047619047619047
(organic),google,ir_affiliate,desktop,4279,1348,4,507.99,13,7,0.06286515541014255,0.9371348445898574,0.0009347978499649451,126.9975,0.5384615384615384,0.5714285714285714
506115095,bing,cpc,desktop,4248,3700,37,2927.7999999999984,682,7,0.0614406779661017,0.9385593220338984,0.008709981167608287,79.12972972972969,0.010263929618768328,5.285714285714286
506108562,bing,cpc,desktop,4230,3919,44,5169.630000000001,364,74,0.03380614657210402,0.966193853427896,0.010401891252955082,117.49159090909093,0.2032967032967033,0.5945945945945946
circle-homepage,circle,referral,mobile,4143,3281,155,14637.509999999984,2149,5,0.05841177890417572,0.9415882210958243,0.03741250301713734,94.43554838709667,0.002326663564448581,31.0
506176142,bing,cpc,desktop,4131,3156,94,11386.769999999997,579,166,0.046719922536916,0.953280077463084,0.022754780924715567,121.13585106382975,0.2867012089810017,0.5662650602409639
506176142,bing,cpc,mobile,3956,3720,21,1743.3200000000004,209,40,0.024772497472194135,0.9752275025278059,0.005308392315470172,83.01523809523812,0.19138755980861244,0.525
JDI_Impulse_2781870,outbrain,native,mobile,3920,2891,115,8098.739999999996,2435,6,0.10714285714285714,0.8928571428571429,0.029336734693877552,70.42382608695648,0.0024640657084188913,19.166666666666668
GG_Aura_Search_NB_gtwy-pc,google,cpc,desktop,3760,2668,118,10945.199999999995,1007,13,0.1327127659574468,0.8672872340425531,0.03138297872340425,92.75593220338979,0.012909632571996028,9.076923076923077
506111763,bing,cpc,tablet,3757,3198,9,1166.96,299,11,0.046047378227309026,0.953952621772691,0.0023955283470854403,129.66222222222223,0.03678929765886288,0.8181818181818182
broad_up10month21_db_hacker,facebook,paidsocial,mobile,3620,3385,56,4969.4400000000005,425,10,0.03535911602209945,0.9646408839779006,0.015469613259668509,88.74000000000001,0.023529411764705882,5.6
broad_sara,facebook,paidsocial,mobile,3504,3106,16,1389.8400000000001,152,7,0.06592465753424658,0.9340753424657534,0.0045662100456621,86.86500000000001,0.046052631578947366,2.2857142857142856
life360-balance,life360,push,mobile,3438,2793,8,364.97,69,0,0.0477021524141943,0.9522978475858057,0.002326934264107039,45.62125,0.0,0.0
(referral),wickfire,ir_affiliate,mobile,3396,2840,99,8502.079999999993,1204,4,0.040341578327444054,0.959658421672556,0.029151943462897525,85.87959595959589,0.0033222591362126247,24.75
(not set),top10,ir_affiliate,mobile,3354,1957,64,6347.689999999997,673,62,0.1398330351818724,0.8601669648181276,0.01908169350029815,99.18265624999995,0.09212481426448738,1.032258064516129
(referral),taboola,cpc,mobile,3150,2996,1,129.99,28,1,0.06063492063492063,0.9393650793650794,0.00031746031746031746,129.99,0.03571428571428571,1.0
(not set),amex,(not set),mobile,3101,2365,29,4435.849999999999,238,40,0.025153176394711384,0.9748468236052886,0.009351821992905514,152.9603448275862,0.16806722689075632,0.725
(not set),forbes,ir_affiliate,desktop,3080,398,32,4954.0,200,38,0.08149350649350649,0.9185064935064935,0.01038961038961039,154.8125,0.19,0.8421052631578947
lal_currentcustomers5_lowerfunnelftprove_subscribe,facebook,paidsocial,mobile,3061,2636,41,329.99,531,5,0.037242731133616466,0.9627572688663836,0.013394315583142764,8.048536585365854,0.009416195856873822,8.2
506108562,bing,cpc,mobile,3053,2776,39,2734.48,335,74,0.037667867671143135,0.9623321323288568,0.012774320340648543,70.11487179487179,0.2208955223880597,0.527027027027027
(referral),financebuzz,ir_affiliate,mobile,3048,2728,103,7533.99,569,236,0.03608923884514436,0.9639107611548556,0.03379265091863517,73.14553398058253,0.4147627416520211,0.4364406779661017
