campaign,landing_page,feature,sessions,conversions,revenue,bounce_rate,cvr,aov
GG_Aura_PerformanceMax_NB,/better-protection?mktp=google&c1=21277047044&c2=&utm_gateway=idt&gad_campaignid=21270586683,antivirus,2428,6,514.62,0.05724876441515651,0.002471169686985173,85.77
GG_Aura_DemandGen_Sandbox,/privacy-protection-social?mktp=google&c1=22571430648&c2=188156642051&utm_gateway=,vpn,2400,8,963.93,0.15,0.0033333333333333335,120.49125
broad_auratesting,/privacy-protection-social?utm_gateway=privacy,vpn,2331,10,939.9,0.011583011583011582,0.00429000429000429,93.99
(organic),/learn/how-can-someone-track-my-location,general,2314,3,288.99,0.011235955056179775,0.0012964563526361278,96.33
(direct),/account/downloads,general,2225,1,24.0,0.009887640449438202,0.00044943820224719103,24.0
GG_Aura_DemandGen_Sandbox,/data-exposure-removal?int=h&mktp=google&c1=22571430648&c2=188156642051&utm_gateway=&gad_campaignid=,general,2136,15,1657.86,0.008895131086142321,0.007022471910112359,110.52399999999999
(organic),/learn/hinge-scammers,general,2010,0,0.0,0.008955223880597015,0.0,0.0
(organic),/learn/how-to-know-if-your-phone-is-hacked,general,1980,1,144.0,0.01616161616161616,0.000505050505050505,144.0
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080041&gad_campaignid=19982067071,general,1927,62,5685.95,0.02075765438505449,0.03217436429683446,91.70887096774193
(direct),/account/details,general,1921,1,13.0,0.007808433107756377,0.0005205622071837585,13.0
(organic),/identity-theft-protection,antivirus,1858,130,20054.97,0.006458557588805167,0.06996770721205597,154.269
(organic),/learn/should-i-answer-888-numbers,general,1842,1,384.0,0.01031487513572204,0.0005428881650380022,384.0
(organic),/learn/what-can-hackers-do-with-your-phone-number,general,1825,1,144.0,0.014246575342465753,0.000547945205479452,144.0
av-intro,/sign-in,general,1764,2,417.99,0.051587301587301584,0.0011337868480725624,208.995
(organic),/learn/how-to-identify-fake-websites,general,1752,0,0.0,0.011986301369863013,0.0,0.0
(organic),/learn/what-can-someone-do-with-your-license-plate-number,general,1751,0,0.0,0.010850942318675044,0.0,0.0
(direct),/s/article/alert-email-address-data-leak,identity_theft,1744,0,0.0,0.008600917431192661,0.0,0.0
GG_Aura_Search_NB_General,/privacy-robocall?mktp=google&c1=19982067071&c2=173090629646&utm_gateway=privacy&gad_campaignid=1998,vpn,1718,23,1089.98,0.01979045401629802,0.01338766006984866,47.39043478260869
av-intro,(not set),general,1695,3,329.97,0.9185840707964602,0.0017699115044247787,109.99000000000001
GG_Aura_Search_Competitors,/aura-vs-competition?mktp=google&c1=19851773274&c2=180928698125&gad_campaignid=19851773274,general,1677,39,3760.34,0.016696481812760882,0.023255813953488372,96.41897435897437
(organic),/s/,general,1672,3,588.0,0.034688995215311005,0.0017942583732057417,196.0
GG_Aura_Search_NB_General,/privacy-robocall?mktp=google&c1=19982067071&c2=173090629646&utm_gateway=privacy,vpn,1671,33,2498.99,0.029323758228605626,0.019748653500897665,75.72696969696969
(organic),/learn/how-do-i-stop-someone-from-using-my-address,general,1566,0,0.0,0.0038314176245210726,0.0,0.0
GG_Aura_PerformanceMax_NB,/better-protection?mktp=google&c1=21277047044&c2=&utm_gateway=idt,antivirus,1560,16,1798.13,0.052564102564102565,0.010256410256410256,112.383125
(direct),/sign-in/mfa,general,1550,1,13.0,0.004516129032258065,0.0006451612903225806,13.0
(organic),/s/article/install-aura-desktop-app,general,1531,2,288.0,0.001959503592423253,0.0013063357282821686,144.0
(organic),/learn/whatsapp-scams,general,1504,1,144.0,0.00997340425531915,0.0006648936170212766,144.0
(organic),/learn/medicare-scam-calls,general,1464,0,0.0,0.0034153005464480873,0.0,0.0
(organic),/learn/is-guardio-legit,general,1439,3,242.88,0.007644197359277276,0.0020847810979847115,80.96
GG_Aura_Search_NB_General,/password-manager-intro-2?mktp=google&c1=19982067071&c2=157310583749&utm_gateway=pm&gad_campaignid=1,password_manager,1430,8,639.92,0.023076923076923078,0.005594405594405594,79.99
circle-homepage,/parental-controls-2-rdj-circle?utm_gateway=parental-controls,parental_controls,1423,68,6799.32,0.030920590302178495,0.04778636683063949,99.99
(organic),/learn/military-romance-scams,general,1421,0,0.0,0.009148486980999296,0.0,0.0
GG_Aura_Search_Brand,/sem-mobile?mktp=google&c1=19665933250&c2=144595646143,general,1420,32,2368.91,0.07464788732394366,0.022535211267605635,74.0284375
GG_Aura_Search_NB_General,(not set),general,1406,0,0.0,0.9324324324324325,0.0,0.0
GG_Aura_Search_Competitors,/aura-vs-competition?mktp=google&c1=19851773274&c2=180928698125,general,1375,25,1915.13,0.015272727272727273,0.01818181818181818,76.60520000000001
(organic),/parental-controls,parental_controls,1371,28,3181.78,0.00437636761487965,0.020423048869438368,113.635
GG_Aura_Search_NB_General,/data-exposure-removal?mktp=google&c1=19982067071&c2=173090629326&utm_gateway=privacy,vpn,1363,45,1821.99,0.0022010271460014674,0.03301540719002201,40.48866666666667
ftr_dboo-ib,/enrollment/v87/1?cc=a_25_freetools_5_privacy_monthly_DBOO&offer_code=zcq34cjws5&gtwid=privacy,vpn,1347,107,832.96,0.1759465478841871,0.07943578322197475,7.784672897196262
GG_Aura_Search_NB_General,/sign-in,general,1337,0,0.0,0.04786836200448766,0.0,0.0
506069991,/sign-in,general,1327,4,625.88,0.03014318010550113,0.003014318010550113,156.47
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080201,general,1300,33,3084.99,0.026153846153846153,0.025384615384615384,93.48454545454545
GG_Aura_Search_NB_General,/hacked?mktp=google&c1=19982067071&c2=180413080201&gad_campaignid=19982067071,general,1284,40,3667.98,0.029595015576323987,0.03115264797507788,91.6995
GG_Aura_Search_NB_General,/password-manager-intro-2?mktp=google&c1=19982067071&c2=157310583749&utm_gateway=pm,password_manager,1275,6,294.94,0.02823529411764706,0.004705882352941176,49.156666666666666
(organic),/learn/venmo-scams,general,1240,0,0.0,0.00967741935483871,0.0,0.0
506211722,(not set),general,1227,0,0.0,0.850040749796251,0.0,0.0
(direct),/legal/privacy-policy,vpn,1225,1,120.0,0.08244897959183674,0.0008163265306122449,120.0
GG_Aura_DemandGen_Sandbox,/data-exposure-removal?int=h&mktp=google&c1=22571430648&c2=185006165932&utm_gateway=,general,1225,0,0.0,0.00816326530612245,0.0,0.0
GG_Aura_DemandGen_Sandbox,/privacy-protection-social?mktp=google&c1=22571430648&c2=185006165932&utm_gateway=&gad_campaignid=22,vpn,1218,7,669.93,0.10426929392446634,0.005747126436781609,95.7042857142857
GG_Aura_PerformanceMax_NB_gtwy-pc,/parental-controls-app-d2p-11?mktp=google&c1=22614703815&c2=&utm_gateway=parental-controls,parental_controls,1215,15,1094.92,0.18353909465020576,0.012345679012345678,72.99466666666667
(direct),/learn/how-to-remove-a-hacker-from-my-phone,general,1211,0,0.0,0.03550784475639967,0.0,0.0
(organic),/learn/my-facebook-was-hacked,general,1210,1,108.0,0.02975206611570248,0.0008264462809917355,108.0
(organic),/learn/bank-of-america-scams,general,1193,2,27.99,0.006705783738474434,0.0016764459346186086,13.995
(direct),/legal/insurance-summary-of-benefits,general,1190,2,528.0,0.023529411764705882,0.0016806722689075631,264.0
(organic),/learn/how-do-people-steal-credit-card-numbers,identity_theft,1176,0,0.0,0.00935374149659864,0.0,0.0
GG_Aura_DemandGen_Sandbox,(not set),general,1160,1,129.99,0.9301724137931034,0.0008620689655172414,129.99
(direct),/all-alerts/critical?filter=all&family-member=,parental_controls,1155,0,0.0,0.07792207792207792,0.0,0.0
GG_Aura_Search_NB_General,/learn/what-to-do-if-your-phone-is-hacked?mktp=google&c1=19982067071&c2=180413080281,general,1137,7,901.86,0.021108179419525065,0.006156552330694811,128.83714285714285
(direct),/email-protection-alert-feedback/scam,antivirus,1094,0,0.0,0.03016453382084095,0.0,0.0
(organic),/learn/have-i-been-hacked,general,1087,2,84.99,0.00919963201471941,0.0018399264029438822,42.495
(organic),/learn/will-factory-reset-remove-viruses,antivirus,1074,0,0.0,0.008379888268156424,0.0,0.0
(organic),/finances/credit,identity_theft,1065,0,0.0,0.006572769953051643,0.0,0.0
(organic),/learn/how-to-spot-a-scammer-on-a-dating-site,general,1054,1,144.0,0.011385199240986717,0.0009487666034155598,144.0
(organic),/learn/i-got-scammed-on-zelle-what-do-i-do,general,1038,0,0.0,0.0038535645472061657,0.0,0.0
GG_Aura_Search_Brand_gtwy-pc,/parental-controls-app-d2p-11?mktp=google&c1=19970218940&c2=145330395782&utm_gateway=parental-contro,parental_controls,1037,48,4099.69,0.021215043394406944,0.04628736740597879,85.41020833333333
GG_Thrive_Search_NB,/more-focus?mktp=google&c1=22748948789&c2=184384219640&gad_campaignid=22748948789,general,1030,0,0.0,0.024271844660194174,0.0,0.0
(organic),/job-opening-list,general,1020,0,0.0,0.006862745098039216,0.0,0.0
(organic),/learn/ip-address-hacked,general,1015,0,0.0,0.007881773399014778,0.0,0.0
GG_Aura_Search_Brand_gtwy-av,/antivirus-intro?mktp=google&c1=21579860134&c2=165833219933&utm_gateway=av,antivirus,1012,61,5731.41,0.007905138339920948,0.06027667984189723,93.95754098360655
(organic),/learn/etsy-scams,general,1011,0,0.0,0.004945598417408506,0.0,0.0
(organic),/learn/amazon-scam-calls,general,998,0,0.0,0.0070140280561122245,0.0,0.0
GG_Aura_Search_Brand,/safety-personalization-quiz-d2p?mktp=google&c1=19665933250&c2=144595646583&utm_gateway=idt,general,987,94,15143.13,0.005065856129685917,0.09523809523809523,161.09712765957445
(direct),/s/article/unusual-transaction-monitoring,parental_controls,985,0,0.0,0.03248730964467005,0.0,0.0
(organic),/learn/my-instagram-was-hacked-what-to-do,general,984,0,0.0,0.057926829268292686,0.0,0.0
GG_Aura_Search_NB_General,/learn/have-i-been-hacked?mktp=google&c1=19982067071&c2=180413080281,general,983,10,1207.98,0.01627670396744659,0.01017293997965412,120.798
(organic),/learn/fake-apple-security-alerts,identity_theft,968,0,0.0,0.010330578512396695,0.0,0.0
krg,/listen,general,948,0,0.0,0.07067510548523206,0.0,0.0
(direct),/vault/passwords,password_manager,945,0,0.0,0.015873015873015872,0.0,0.0
(organic),/learn/why-do-random-numbers-call-me,general,938,1,215.88,0.01279317697228145,0.0010660980810234541,215.88
(organic),/learn/can-someone-steal-your-identity-with-your-id,identity_theft,930,0,0.0,0.011827956989247311,0.0,0.0
(organic),/learn/paypal-scams,general,923,0,0.0,0.010834236186348862,0.0,0.0
GG_Aura_DemandGen_Sandbox,/privacy-protection-social?mktp=google&c1=22571430648&c2=185006165932&utm_gateway=privacy&gad_campai,vpn,895,6,449.94,0.1329608938547486,0.0067039106145251395,74.99
GG_Aura_Search_NB_General,/privacy-savings?mktp=google&c1=19982067071&c2=173090629806&utm_gateway=privacy,vpn,894,14,600.0,0.03803131991051454,0.015659955257270694,42.857142857142854
GG_Aura_Search_NB_General,/learn/what-to-do-if-your-phone-is-hacked?mktp=google&c1=19982067071&c2=180413080281&gad_campaignid=,general,889,2,288.0,0.023622047244094488,0.0022497187851518562,144.0
(organic),/learn/chase-bank-scams,general,882,1,384.0,0.01473922902494331,0.0011337868480725624,384.0
GG_Aura_Search_Competitors,/data-exposure-removal?mktp=google&c1=19851773274&c2=173090630086&utm_gateway=privacy,vpn,880,21,660.0,0.0011363636363636363,0.023863636363636365,31.428571428571427
GG_Aura_Search_Competitors,/better-protection?mktp=google&c1=19851773274&c2=176727412479,antivirus,879,85,8616.59,0.019340159271899887,0.09670079635949944,101.37164705882353
(organic),/learn/how-to-find-out-if-my-information-is-on-the-dark-web,general,873,10,829.78,0.009163802978235968,0.011454753722794959,82.978
GG_Aura_Search_Brand,/better-protection?mktp=google&c1=19665933250&c2=144595646583&utm_gateway=idt,antivirus,868,87,12568.62,0.018433179723502304,0.10023041474654378,144.46689655172415
(referral),/pricing,general,862,12,2192.0,0.015081206496519721,0.013921113689095127,182.66666666666666
GG_Aura_PerformanceMax_NB,/dark-web-monitoring?mktp=google&c1=21277047044&c2=&utm_gateway=,parental_controls,862,4,575.52,0.05916473317865429,0.004640371229698376,143.88
GG_Aura_Search_NB_General,/password-manager-intro-2?mktp=google&c1=19982067071&c2=176827963397&utm_gateway=pm,password_manager,861,9,404.91,0.018583042973286876,0.010452961672473868,44.99
506069991,(not set),general,860,0,0.0,0.9372093023255814,0.0,0.0
life360-doomscroll,(not set),general,858,0,0.0,0.921911421911422,0.0,0.0
(organic),/learn/bumble-scams,general,855,0,0.0,0.017543859649122806,0.0,0.0
(direct),/s/article/activate-credit-monitoring,parental_controls,852,0,0.0,0.012910798122065728,0.0,0.0
GG_Aura_Search_Brand_gtwy-pc,/parental-controls-app-d2p-11?mktp=google&c1=19970218940&c2=145330395782&utm_gateway=parental-contro,parental_controls,852,44,3970.72,0.025821596244131457,0.051643192488262914,90.24363636363636
(direct),/vault/create/email-address,password_manager,851,0,0.0,0.02702702702702703,0.0,0.0
(organic),/learn/how-to-remove-your-personal-information-from-the-internet,general,847,10,1090.87,0.0070838252656434475,0.011806375442739079,109.08699999999999
life360-work,(not set),general,847,0,0.0,0.9338842975206612,0.0,0.0
(organic),/ai,general,843,0,0.0,0.013048635824436536,0.0,0.0
(organic),/contact,general,838,1,5.0,0.015513126491646777,0.0011933174224343676,5.0
(organic),/s/article/contact-customer-support,general,833,0,0.0,0.008403361344537815,0.0,0.0
shawnryan,/srs,general,831,52,6359.99,0.03489771359807461,0.06257521058965103,122.30749999999999
(organic),/vault/passwords,password_manager,829,0,0.0,0.0024125452352231603,0.0,0.0
GG_Aura_Search_Brand,/better-protection?mktp=google&c1=19665933250&c2=175144937485,antivirus,829,27,2620.35,0.009650180940892641,0.032569360675512665,97.05
(organic),/learn/what-can-someone-do-with-your-ip-address,general,807,1,5.0,0.009913258983890954,0.0012391573729863693,5.0
GG_Aura_Search_NB_gtwy-pc,/parental-controls-app-d2p-11?mktp=google&c1=17371798024&c2=166594161834&utm_gateway=parental-contro,parental_controls,803,29,2495.81,0.037359900373599,0.0361145703611457,86.06241379310345
GG_Aura_Search_Competitors,/data-exposure-removal?mktp=google&c1=19851773274&c2=173090630086&utm_gateway=privacy&gad_campaignid,vpn,802,36,669.0,0.007481296758104738,0.04488778054862843,18.583333333333332
(organic),/learn/costco-scams,general,800,1,15.0,0.015,0.00125,15.0
GG_Aura_Search_NB_General,/password-manager-intro-2?mktp=google&c1=19982067071&c2=176827963397&utm_gateway=pm&gad_campaignid=1,password_manager,797,6,404.94,0.01631116687578419,0.0075282308657465494,67.49
(direct),/legal/service-terms,general,796,3,432.0,0.1092964824120603,0.0037688442211055275,144.0
GG_Aura_Search_NB_General,/learn/have-i-been-hacked?mktp=google&c1=19982067071&c2=180413080281&gad_campaignid=19982067071,general,791,1,134.0,0.018963337547408345,0.0012642225031605564,134.0
(organic),/vpn,vpn,779,8,1201.0,0.014120667522464698,0.010269576379974325,150.125
(referral),/identity-theft-protection,antivirus,778,10,1652.88,0.016709511568123392,0.012853470437017995,165.288
(organic),/learn/can-you-get-hacked-by-responding-to-a-text-message,general,771,0,0.0,0.010376134889753566,0.0,0.0
(direct),/contact,general,770,0,0.0,0.04415584415584416,0.0,0.0
(referral),/parental-controls-2-rdj,parental_controls,770,10,999.9,0.02207792207792208,0.012987012987012988,99.99
(direct),/learn/telegram-app-scams,general,765,0,0.0,0.03398692810457516,0.0,0.0
(organic),/learn/how-to-track-down-someone-who-scammed-you,general,765,2,263.88,0.00784313725490196,0.00261437908496732,131.94
(organic),/learn/i-gave-my-social-security-number-to-a-scammer,general,764,4,159.87,0.007853403141361256,0.005235602094240838,39.9675
(organic),/learn/can-hackers-hack-your-wifi,general,758,1,348.0,0.014511873350923483,0.0013192612137203166,348.0
506069991,/,general,758,8,1073.76,0.03430079155672823,0.010554089709762533,134.22
(organic),/learn/usphonebook-opt-out,general,752,0,0.0,0.009308510638297872,0.0,0.0
GG_Aura_Search_Brand_gtwy-av,/antivirus-intro?mktp=google&c1=21579860134&c2=165833219933&utm_gateway=av&gad_campaignid=2157986013,antivirus,750,41,4396.62,0.013333333333333334,0.05466666666666667,107.23463414634146
(organic),/learn/text-message-scams,general,748,0,0.0,0.0106951871657754,0.0,0.0
GG_Aura_Search_NB_General,/privacy-savings?mktp=google&c1=19982067071&c2=173090629806&utm_gateway=privacy&gad_campaignid=19982,vpn,744,17,1580.87,0.026881720430107527,0.0228494623655914,92.99235294117646
(direct),/vault/personal-data/identity?lid=s3kfelfetn4r,identity_theft,741,0,0.0,0.01349527665317139,0.0,0.0
(organic),/learn/dmv-text-scam,general,735,0,0.0,0.012244897959183673,0.0,0.0
(organic),/learn/facebook-scams,general,735,0,0.0,0.006802721088435374,0.0,0.0
(organic),/learn/how-to-check-your-digital-footprint,general,722,0,0.0,0.02077562326869806,0.0,0.0
(organic),/learn/scammer-phone-number-lookup,general,720,1,144.0,0.016666666666666666,0.001388888888888889,144.0
GG_Aura_PerformanceMax_NB,/how-to-secure-credit?mktp=google&c1=21277047044&c2=&utm_gateway=,vpn,717,1,120.0,0.03905160390516039,0.001394700139470014,120.0
(organic),/forgot-password,password_manager,714,0,0.0,0.025210084033613446,0.0,0.0
GG_Aura_Search_Brand,/sem-mobile?mktp=google&c1=19665933250&c2=175456192694&gad_campaignid=19665933250,general,705,22,1909.05,0.024113475177304965,0.031205673758865248,86.77499999999999
